# SETTINGS
cell_size,16
background_color,black
# TILEMAP
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,5,5,0,0,7,0,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,1,1
1,1,5,5,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
1,1,5,5,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
1,1,5,5,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
1,1,5,5,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
1,1,5,5,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
1,1,5,5,5,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,1
1,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
# OBJECTS
type,x,y,extra
mario,48,32,spawn_type=falling
pipe,336,176,dest_map=level_1_1,enter_direction=right,is_solid=true
coin,128,80
coin,128,112
coin,128,144
coin,144,80
coin,144,112
coin,144,144
coin,160,80
coin,160,112
coin,160,144
coin,176,80
coin,176,112
coin,176,144
coin,192,80
coin,192,112
coin,192,144
coin,208,80
coin,208,112
coin,208,144
coin,224,80
coin,224,112
coin,224,144
coin,96,128,hidden_in_block=true
coin,256,128,hidden_in_block=true
